	Author	Ratings	Title	Description
4929	mick	5	great device	The most seamless streaming experience I have and huge improvement over the original chromecast device. Well done Google!
4930	Oscar	5	Awesome able to view mostly	It is a very nice product I have 3 at home and now I gave one to my brother
4931	slickakira	5	Quick and easy	The new chromecast (i had the older version) is a lot faster and very easy to setup. It does everything that it states to do so no need to be redundant. Just make sure you know you have to have a power source either on your TV (USB) or by an outlet. It's a little misleading when you look at the picture
4932	phone123	5	cut cable	No longer needed cable with this device.I will be able to watch nil.
4933	Tfran1521	5	Great	This is my 3rd Chromecast, it's great to have on TV's around the house so you can cast your stuff on the big screen.
4934	Wolfe	5	Cast Anywhere	I love the chromecast. I had the original model and upgraded to this one. This one is great has lots of functions. I can hit it from anywhere in my apartment.
4935	Hari	5	Excellent	Google Chromecast: Enjoy a world of entertainment with Google Chromecast. Just connect to your HDTV's HDMI interface and your home Wi-Fi network to get started. You can stream your favorite apps from...
4936	webgirl	5	Chromecast is worth getting!	I got this for my uncle who wanted to stream youtube videos without getting an internet-capable tv! Installation was quick and easy!
4937	Awen	4	Much better than 1st gen but still needs work	"I have used a chromecast for nearly three years now and this one is much better in form and function than its predecessor. The cable is much more flexible which works well with my Xbox since the Xbox is crammed in a tight space. I like the options to change what kinds of pictures it displays when it isn't being used as well including albums from Facebook. However, the photos are often poorly cropped so one section of the picture is zoomed in making the Fb picture function more annoying than useful.

It's getting better but doesn't deserve 5 stars quite yet."
4938	Maxdog	5	Good Value	Use daily to stream Hulu and Netflix to tv as have parted ways with cable company. Works beautifully and reasonably priced.
4939	DIYdad	5	Powerful Puck	Works great, even with my old flat screen (non-smart) tv. I simply connect my iPad to the cromecast wi-fi and and cast all my movies to my tv. This cromecast puck was even cheaper than buying an HDMI cord from TV to my iPad, to do the same thing. This has even more options than currently using. Great find.
4940	TVstreamer	4	Great way to stream content from compatible device	Before anyone slams the Chromecast, you must be aware that it's a streaming receiver, lacking a user interface. That means that your compatible devices must be able to cast content to the Chromecast device. It serves its purpose, but should you be casting content from a PC, that it needs to be really fast. It's somewhat watchable, albeit a bit of lag, using a computer with a Core 2 Duo processor. Occasionally the Chromecast receiver crashes and automatically reboots, so there may be a delay in receiving a signal, which necessitates the user to re-cast the content to the Chromecast. Otherwise it's good, and allows the family to view content.
4941	FearlessGodlyWoman	5	Love it	It's so easy to install and yet best to use for my kiddos
4942	Fpator	5	Fun product	Very useful, I don't have a smart tv, and I bought the chrome cast.
4943	Salem	5	Great product!	Got this for my parents, they enjoy it very much. I would definitely get them another one; it is made well, good quality feel btw.
4944	riahb14	5	Exactly what I wanted	Cast from my phone or laptop. Music or video. Love it. The screensaver is fun too.
4945	kellymartinusa	5	Easy to setup, easy to use	I have a Samsung TV and can cast my phone to it, but this just makes using Netflix and YouTube so much easier! Great product!
4946	carlowho	5	Slightly faster than the original	It's a must have for any TV. It makes casting very convenient. I have the first generation chromecast and I can see that there's is a slight improvement in speed. I use it primarily for youtube but hulu, netflix, and other apps are also available.
4947	Fred	5	Works like it said it would	Easy to connect and set up. Instructions were clear and it works great.
4948	Bigboy	4	Very practical	Works without a glitch. Great to cast laptops to TV. Only issue is it's not compatible with Apple products.
4949	MarkMe2525	4	Easy to operate	Straight to the point and easy to use. I only wish it had a little more power in the networking department as I have to reset device often to get it connected to the internet.
4950	erikalo	5	Works perfectly	It is a good gadget to convert a regular TV into a smart tv
4951	prasanth	4	Good one	Using this for last two months. It serves the purpose.
4952	AParker	5	A great home streaming option	Setup was easy, just connect the device to the TV's HDMI and to power (either wall or your TV's USB hook up) and follow the on screen instructions to connect the Chromecast to your home wifi network. Current generation Chromecast is infinitesimally better designed, it hangs up less when attempting to connect it to any potential streams and has a better buffering quality than my hard connection desktop. Additionally, it played through an entire Netflix show even after we lost internet. Would highly recommend.
4953	Roy2020	5	Great Product	I was able to save a lot of money by purchasing this and canceling my cable . It is a must have !!!!
4954	Tuck	5	Great item to use.	Chromecast is awesome for everything you need it for and everything you can use it for.
4955	Halon45	5	Works great!	works flawlessly and game of thrones comes in without interruptions
4956	Sebastian	4	Great little piece of technology	I love my chromecast. I used to love the OS on my smart TV but after using the chromecast I find it more convenient to control everything from my smartphone as opposed to a remote control. The only down side is that Amazon does not allow you to cast any of their services to your chomecast.
4957	Electroniclover	5	Great for traveling	Love this product! We take this for traveling all the time. We can have a movie night while away from home in cabins. We hook up chromcast with our computer to the TV in the cabin. Works well.
4958	AndroidPD	5	Expectations met	For those who resist to buy a smart TV, this is the best option. Minimalistic and small device that can be hidden behind the TV.
4959	Jennifer	5	Keep it simple	I now own 3 Chromecasts. Keep it simple stupid has always been my motto. Chromecast does just that.
4960	Kaizen61	5	Best options for streaming media	The nice thing about Chromecasts is that so many platforms and devices support it.
4961	lynn	4	great little device	wish the directions were more concise to make it easier to install and use.
4962	rob2014	5	Great product	I love this product. It is cheaper and so much more convient then cable.
